country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","01-02-2024 11:00:00",14.675886,77.593027,PM10,55,125,90
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","01-02-2024 11:00:00",14.675886,77.593027,NH3,NA,NA,NA
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","01-02-2024 11:00:00",14.675886,77.593027,CO,26,80,42
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","01-02-2024 11:00:00",13.204880,79.097889,PM10,28,124,82
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","01-02-2024 11:00:00",14.465052,78.824187,PM10,22,51,36
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","01-02-2024 11:00:00",13.67,79.35,NH3,1,1,1
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","01-02-2024 11:00:00",13.615387,79.409230,NO2,16,24,20
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","01-02-2024 11:00:00",13.615387,79.409230,CO,8,16,12
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","01-02-2024 11:00:00",16.536107,80.594233,CO,24,26,24
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","01-02-2024 11:00:00",16.509717,80.612222,CO,32,35,33
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","01-02-2024 11:00:00",16.509717,80.612222,OZONE,3,49,15
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","01-02-2024 11:00:00",16.554731,80.649110,NH3,1,2,1
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","01-02-2024 11:00:00",16.554731,80.649110,SO2,5,39,19
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","01-02-2024 11:00:00",16.554731,80.649110,OZONE,4,51,11
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","01-02-2024 11:00:00",17.72,83.3,NO2,16,68,45
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","01-02-2024 11:00:00",17.72,83.3,OZONE,9,57,12
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","01-02-2024 11:00:00",26.071318,91.87488,PM10,105,500,305
India,Assam,Guwahati,"IITG, Guwahati - PCBA","01-02-2024 11:00:00",26.2028636,91.70046436,PM10,73,175,123
India,Assam,Guwahati,"IITG, Guwahati - PCBA","01-02-2024 11:00:00",26.2028636,91.70046436,CO,12,22,13
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","01-02-2024 11:00:00",26.10887,91.589544,NO2,10,62,32
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","01-02-2024 11:00:00",26.10887,91.589544,CO,20,90,32
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","01-02-2024 11:00:00",26.10887,91.589544,OZONE,1,61,12
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","01-02-2024 11:00:00",26.181742,91.78063,PM2.5,79,346,172
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","01-02-2024 11:00:00",26.349082,92.68449,CO,16,57,25
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","01-02-2024 11:00:00",26.446912,91.439057,PM2.5,42,308,89
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","01-02-2024 11:00:00",26.446912,91.439057,NH3,1,3,1
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","01-02-2024 11:00:00",26.446912,91.439057,SO2,5,15,9
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","01-02-2024 11:00:00",26.446912,91.439057,OZONE,18,76,37
India,Assam,Silchar,"Tarapur, Silchar - PCBA","01-02-2024 11:00:00",24.82827,92.79525,PM10,51,58,54
